Date,Value
2022-10-01,  20.44
2022-11-01,  22.07
2022-12-01,  22.65
2023-01-01,  22.82
2023-02-01,  23.40
2023-03-01,  22.66
2023-04-01,  23.27
2023-05-01,  23.15
2023-06-01,  24.01
2023-07-01,  24.76
2023-08-01,  24.16
2023-09-01,  23.93
2023-10-01,  22.78
2023-11-01,  23.51
2023-12-01,  24.35
2024-01-01,  25.01
2024-02-01,  26.14
2024-03-01,  27.02
2024-04-01,  26.41
2024-05-01,  26.93
2024-06-01,  27.64
2024-07-01,  28.08
2024-08-01,  27.67
2024-09-01,  28.09
2024-10-01,  28.45
2024-11-01,  28.66
2024-12-01,  28.60
2025-01-01,  28.16
2025-02-01,  28.15
2025-03-01,  26.23
2025-04-01,  24.56
2025-05-01,  26.34
2025-06-01,  27.10
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
